Student ID,Quiz01,Assignment01,Class
student000306,85,81,G
student000209,70,81,G
student000279,70,78,G
student000112,80,78,G
student000088,70,66,G
student000192,80,83,G
student000431,85,83,G
student000131,70,48,G
student000202,85,37,G
student000435,75,63,G
student000148,85,80,G
student000355,80,73,G
student000145,70,92,G
student000149,85,75,G
student000451,100,70,G
student000031,70,79,G
student000205,80,92,G
student000133,85,85,G
student000254,70,79,G
student000339,70,74,G
student000173,80,89,G
student000308,60,68,G
student000329,90,71,G
